(2026.1.31.기준)

[표]
| 학생건강검진 시범사업 검진기관 현황
| ※ 비고의 "Y", "N"는 2024~2025년도 학생 건강검진 시범사업 참여 여부를 표기한 것이며, 2026년 학생 건강검진의 경우 이전 시범사업 참여 여부와 관계없이 사전 연락 후 방문 필요

순번 | 지역본부 | 지사명 | 검진기관명 | 병원구분 | 검진기관기호 | 주소 | 전화번호 | 비고
42 | 서울강원지역본부 | 원주횡성지사 | 연세그린내과의원 | 의원 | 32316364 | 강원특별자치도 원주시 원문로 106 3층 (단계동, 선암빌딩) | 033-746-1723 | N
43 | 서울강원지역본부 | 원주횡성지사 | 박동훈내과의원 | 의원 | 32317107 | 강원특별자치도 원주시 봉화로 22 6층 (단계동, 더파크타워) | 033-746-7588 | N
44 | 서울강원지역본부 | 원주횡성지사 | 퀸스영상의학과의원 | 의원 | 32317409 | 강원특별자치도 원주시 무실로12번길 24 3층 (일산동) | 033-733-7575 | N
45 | 서울강원지역본부 | 원주횡성지사 | 임수빈내과의원 | 의원 | 32318324 | 강원특별자치도 원주시 시청로 98 (무실동) | 033-743-2266 | N
46 | 서울강원지역본부 | 원주횡성지사 | 강원의료복지사회적협동조합밝음의원 | 의원 | 32319011 | 강원특별자치도 원주시 중앙로 85 4층 (중앙동) | 033-744-7571 | N
47 | 서울강원지역본부 | 원주횡성지사 | 연세굿모닝내과의원 | 의원 | 32319673 | 강원특별자치도 원주시 행구로 148 3층 (행구동) | 033-733-0799 | N
48 | 서울강원지역본부 | 원주횡성지사 | 도담내과의원 | 의원 | 32319746 | 강원특별자치도 원주시 모란1길 70 203층 (우산동, 수정프라자) | 033-744-4901 | N
49 | 서울강원지역본부 | 원주횡성지사 | 연세 혁신내과의원 | 의원 | 32319975 | 강원특별자치도 원주시 혁신로 53 (반곡동) | 033-747-4253 | N
50 | 서울강원지역본부 | 원주횡성지사 | 죠훈신경외과의원 | 의원 | 32320612 | 강원특별자치도 원주시 양지로 4 3~5층 (반곡동) | 033-748-9111 | Y
51 | 서울강원지역본부 | 원주횡성지사 | 연세열린내과의원 | 의원 | 32320621 | 강원특별자치도 원주시 백간길 25 2층 (단계동) | 033-733-1346 | N
52 | 서울강원지역본부 | 원주횡성지사 | 하나내과의원 | 의원 | 32321058 | 강원특별자치도 원주시 치악로 1527 판부농협하나로마트 2층 (관설 | 동033-763-9080 | N
53 | 서울강원지역본부 | 원주횡성지사 | 고려제일의원 | 의원 | 32321163 | 강원특별자치도 원주시 부론면 법천시장길 52 2층 | 033-742-7572 | N
54 | 서울강원지역본부 | 원주횡성지사 | 속시원한내과의원 | 의원 | 32321317 | 강원특별자치도 원주시 로아노크로 74 501호, 502호 (무실동) | 033-743-8275 | N
55 | 서울강원지역본부 | 원주횡성지사 | 지정내과의원 | 의원 | 32321546 | 강원특별자치도 원주시 지정면 신지정로 266 301,302호 | 033-733-2355 | Y
56 | 서울강원지역본부 | 원주횡성지사 | 드림365소아청소년과의원 | 의원 | 32321619 | 강원특별자치도 원주시 지정면 신지정로 322 탑프라자 402,403호 | 033-734-3650 | Y
57 | 서울강원지역본부 | 원주횡성지사 | 곽엄섭내과의원 | 의원 | 32321635 | 강원특별자치도 원주시 현충로 320-1 1,2층 (태장동) | 033-732-8277 | N
58 | 서울강원지역본부 | 원주횡성지사 | 원주위대한내과의원 | 의원 | 32321724 | 강원특별자치도 원주시 능라동길 27 SK타워 504~506호 (무실동) | 033-742-9669 | Y
59 | 서울강원지역본부 | 원주횡성지사 | 이재형내과의원 | 의원 | 32321732 | 강원특별자치도 횡성군 횡성읍 한우로 306 | 033-343-3636 | N
60 | 서울강원지역본부 | 원주횡성지사 | 서울황내과의원 | 의원 | 32322305 | 강원특별자치도 원주시 능라동길 59 603,604호 (무실동) | 033-813-1314 | Y

61 | | | | | | | |
62 | 서울강원지역본부 | 원주횡성지사 | 연세임유리내과의원 | 의원 | 32322666 | 강원특별자치도 원주시 지정면 신지정로 322-1 6층 | 033-901-7582 | Y
63 | 서울강원지역본부 | 원주횡성지사 | 이석원내과의원 | 의원 | 32322925 | 강원특별자치도 원주시 평원로 76 201호 (평원동) | 033-900-5155 | Y
64 | 서울강원지역본부 | 원주횡성지사 | 그랜드치과병원 | 치과병원 | 32400063 | 강원특별자치도 원주시 서원대로 188 (단계동) | 033-732-6000 | Y
65 | 서울강원지역본부 | 원주횡성지사 | 서울매일치과병원 | 치과병원 | 32400071 | 강원특별자치도 원주시 만대공원길 59-0 4~6층 (무실동) | 033-812-2882 | Y
66 | 서울강원지역본부 | 원주횡성지사 | 부부치과의원 | 치과의원 | 32501480 | 강원특별자치도 원주시 중앙로 105 5,6층 (중앙동) | 033-745-1880 | Y
67 | 서울강원지역본부 | 원주횡성지사 | 중앙치과의원 | 치과의원 | 32501609 | 강원특별자치도 원주시 원일로 104-1 (중앙동) | 033-743-6936 | Y
68 | 서울강원지역본부 | 원주횡성지사 | 천진호치과의원 | 치과의원 | 32501820 | 강원특별자치도 원주시 능라동길 65 (무실동) | 033-746-8604 | N
69 | 서울강원지역본부 | 원주횡성지사 | 샤인치과의원 | 치과의원 | 32502320 | 강원특별자치도 원주시 봉화로 27 (단계동) | 033-744-7525 | N
70 | 서울강원지역본부 | 원주횡성지사 | 이플란트지연치과의원 | 치과의원 | 32502362 | 강원특별자치도 횡성군 횡성읍 문정로 41 2층 | 033-343-8644 | Y
71 | 서울강원지역본부 | 원주횡성지사 | 최영권치과의원 | 치과의원 | 32502451 | 강원특별자치도 원주시 무실로 8 3층 (일산동, 명동프라자) | 033-746-6585 | N
72 | 서울강원지역본부 | 원주횡성지사 | 원일치과의원 | 치과의원 | 32502524 | 강원특별자치도 원주시 남원로534번길 14 2층 (단구동) | 033-764-2840 | Y
73 | 서울강원지역본부 | 원주횡성지사 | 위치과의원 | 치과의원 | 32502656 | 강원특별자치도 원주시 원문로 106 4층 (단계동, 선암빌딩) | 033-748-4959 | Y
74 | 서울강원지역본부 | 원주횡성지사 | 엔치과의원 | 치과의원 | 32503083 | 강원특별자치도 원주시 남원로 669 2층 (명륜동) | 033-763-2866 | Y
75 | 서울강원지역본부 | 원주횡성지사 | 현대치과의원 | 치과의원 | 32503172 | 강원특별자치도 횡성군 횡성읍 횡성로 402 (2)층 | 033-343-4916 | Y
76 | 서울강원지역본부 | 원주횡성지사 | 세브란스치과의원 | 치과의원 | 32503377 | 강원특별자치도 원주시 원일로115번길 13 (일산동) | 033-748-2842 | N
77 | 서울강원지역본부 | 원주횡성지사 | 늘푸른치과의원 | 치과의원 | 32503610 | 강원특별자치도 원주시 흥양로51번길 1 2층 (태장동, 원마트) | 033-744-5363 | Y
78 | 서울강원지역본부 | 원주횡성지사 | 튼튼치과의원 | 치과의원 | 32503636 | 강원특별자치도 원주시 단구로 412 2층 (단구동, 세경상가) | 033-748-3443 | Y
79 | 서울강원지역본부 | 원주횡성지사 | 프렌즈치과의원 | 치과의원 | 32504004 | 강원특별자치도 원주시 북원로 2701 (가현동) | 033-745-2858 | Y
80 | 서울강원지역본부 | 원주횡성지사 | 하나치과의원 | 치과의원 | 32504284 | 강원특별자치도 원주시 무실로 164 (단계동) | 033-745-2875 | Y
81 | 서울강원지역본부 | 원주횡성지사 | 리더스치과의원 | 치과의원 | 32504306 | 강원특별자치도 원주시 봉화로 65 (단계동) | 033-742-2025 | Y
82 | 서울강원지역본부 | 원주횡성지사 | 단계뿌리깊은치과의원 | 치과의원 | 32504489 | 강원특별자치도 원주시 서원대로 165 (단계동) | 033-743-4025 | Y
83 | 서울강원지역본부 | 원주횡성지사 | 한빛치과의원 | 치과의원 | 32504527 | 강원특별자치도 원주시 서원대로 396 3층 (단구동, 스타월드) | 033-766-3875 | Y
84 | 서울강원지역본부 | 원주횡성지사 | 서울토론토치과의원 | 치과의원 | 32504551 | 강원특별자치도 원주시 혁신로 262 2층, 3층 (반곡동) | 033-900-2875 | Y
85 | 서울강원지역본부 | 원주횡성지사 | 연세스카이치과의원 | 치과의원 | 32504624 | 강원특별자치도 원주시 단구로 395 2층 (단구동) | 033-761-2875 | Y
86 | 서울강원지역본부 | 원주횡성지사 | 바른길치과의원 | 치과의원 | 32504641 | 강원특별자치도 원주시 북원로 2489 (우산동) | 033-743-2820 | Y
87 | 서울강원지역본부 | 원주횡성지사 | 서울윤치과의원 | 치과의원 | 32504799 | 강원특별자치도 원주시 단구로 360 2층 (단구동) | 033-761-2879 | Y
88 | 서울강원지역본부 | 원주횡성지사 | 키노인터네셔널치과의원 | 치과의원 | 32504934 | 강원특별자치도 원주시 원일로 120 4, 5층 (중앙동) | 033-762-7070 | Y
89 | 서울강원지역본부 | 원주횡성지사 | 연우치과의원 | 치과의원 | 32505094 | 강원특별자치도 원주시 무실로12번길 24 2층 (일산동) | 033-748-2875 | Y
90 | 서울강원지역본부 | 원주횡성지사 | 이스타치과의원 | 치과의원 | 32505108 | 강원특별자치도 원주시 백간길 74 (단계동, 라이프상가 201,202호) | 033-735-1668 | Y
91 | 서울강원지역본부 | 원주횡성지사 | 서울수치과의원 | 치과의원 | 32505299 | 강원특별자치도 원주시 혁신로 53 5층 504호 (반곡동) | 033-748-7528 | Y
92 | 서울강원지역본부 | 원주횡성지사 | 화이트e치과의원 | 치과의원 | 32505523 | 강원특별자치도 원주시 서원대로 502 203,204호 (단구동, 골드프라 | 자033-764-2804 | Y
93 | 서울강원지역본부 | 원주횡성지사 | 스마일치과의원 | 치과의원 | 32505647 | 강원특별자치도 원주시 문막읍 문막시장1길 10 | 033-735-2860 | Y
94 | 서울강원지역본부 | 원주횡성지사 | 원주샘치과의원 | 치과의원 | 32505698 | 강원특별자치도 원주시 치악로 1793 3층 (개운동, 농협) | 033-764-7878 | Y
95 | 서울강원지역본부 | 원주횡성지사 | 연세아이편한치과의원 | 치과의원 | 32505752 | 강원특별자치도 원주시 능라동길 51 617호 (무실동) | 033-744-5275 | Y
96 | 서울강원지역본부 | 원주횡성지사 | 연세프라임치과의원 | 치과의원 | 32505914 | 강원특별자치도 원주시 서원대로 406 4층 (단구동, 리더스타워) | 033-765-7928 | Y
97 | 서울강원지역본부 | 원주횡성지사 | 굿모닝치과의원 | 치과의원 | 32506066 | 강원특별자치도 원주시 입춘로 110 3층 307호 (반곡동) | 033-747-7527 | Y
98 | 서울강원지역본부 | 원주횡성지사 | 다담웃음치과의원 | 치과의원 | 32506112 | 강원특별자치도 원주시 지정면 신지정로 316-1 304,305호 | 033-748-2275 | Y
99 | 서울강원지역본부 | 원주횡성지사 | 서울인성치과의원 | 치과의원 | 32506198 | 강원특별자치도 원주시 흥업면 남원로 57 3, 4층 | 033-766-2879 | Y
100 | 서울강원지역본부 | 원주횡성지사 | 신호드림치과의원 | 치과의원 | 32506228 | 강원특별자치도 원주시 치악로 1965 (태장동) | 033-735-2836 | N
101 | 서울강원지역본부 | 원주횡성지사 | 형제치과의원 | 치과의원 | 32506236 | 강원특별자치도 횡성군 횡성읍 횡성로 401 | 033-343-2275 | N
102 | 서울강원지역본부 | 원주횡성지사 | 고은아이치과의원 | 치과의원 | 32506261 | 강원특별자치도 원주시 서원대로 408 203호 (단구동, 광장빌딩) | 033-766-7528 | Y
103 | 서울강원지역본부 | 원주횡성지사 | 문막애치과의원 | 치과의원 | 32506414 | 강원특별자치도 원주시 문막읍 왕건로 81 동화빌딩 201호 | 033-746-2275 | Y
104 | 서울강원지역본부 | 원주횡성지사 | 우리치과의원 | 치과의원 | 32506422 | 강원특별자치도 횡성군 횡성읍 문정로 32 2층 | 033-345-2275 | Y
105 | 서울강원지역본부 | 원주횡성지사 | 한사랑치과의원 | 치과의원 | 32506473 | 강원특별자치도 원주시 판부면 남원로 401 3층 | 033-762-7528 | Y
106 | 서울강원지역본부 | 원주횡성지사 | 하얀이치과의원 | 치과의원 | 32506597 | 강원특별자치도 원주시 능라동길 3 (무실동) | 033-747-2875 | Y
107 | 서울강원지역본부 | 원주횡성지사 | 북원치과의원 | 치과의원 | 32506635 | 강원특별자치도 원주시 북원로 2698-1 (태장동) | 033-748-2584 | Y
108 | 서울강원지역본부 | 원주횡성지사 | 이사랑치과의원 | 치과의원 | 32506813 | 강원특별자치도 원주시 늘품로 187-58 3층 312호 (단구동, 현대아카 | 데03미3-프73라4-자2804 | Y
109 | 서울강원지역본부 | 원주횡성지사 | 은행나무치과의원 | 치과의원 | 32506929 | 강원특별자치도 원주시 남원로 671 (명륜동) | 033-761-7754 | N
110 | 서울강원지역본부 | 원주횡성지사 | 킴스주니어치과의원 | 치과의원 | 32507046 | 강원특별자치도 원주시 무실로 169 2,3층 (명륜동) | 033-901-1234 | Y
111 | 서울강원지역본부 | 원주횡성지사 | 서울에이스치과의원 | 치과의원 | 32507224 | 강원특별자치도 원주시 태장둔치길 55 2층 (태장동) | 033-746-2842 | Y
112 | 서울강원지역본부 | 원주횡성지사 | 닥터유부부치과의원 | 치과의원 | 32507283 | 강원특별자치도 원주시 오리현길 57 5층 (반곡동) | 033-733-1880 | Y
113 | 서울강원지역본부 | 원주횡성지사 | 스토리치과의원 | 치과의원 | 32507330 | 강원특별자치도 원주시 능라동길 61 (무실동) | 033-733-2875 | N
114 | 서울강원지역본부 | 원주횡성지사 | 원주치과의원 | 치과의원 | 32507348 | 강원특별자치도 원주시 봉화로 31 2층 (단계동) | 033-734-2875 | Y
115 | 서울강원지역본부 | 원주횡성지사 | 연세사랑나눔치과의원 | 치과의원 | 32507411 | 강원특별자치도 원주시 모란1길 86 2층 202~206호 (우산동) | 033-733-0875 | Y
116 | 서울강원지역본부 | 원주횡성지사 | 닥터후치과의원 | 치과의원 | 32507429 | 강원특별자치도 원주시 시청로 98 3층 (무실동, 새봄빌딩) | 033-742-2875 | Y
117 | 서울강원지역본부 | 원주횡성지사 | 연세부부치과의원 | 치과의원 | 32507496 | 강원특별자치도 원주시 모란1길 79 2층 (우산동) | 033-746-2879 | N
118 | 서울강원지역본부 | 원주횡성지사 | 서울니어치과의원 | 치과의원 | 32507500 | 강원특별자치도 원주시 지정면 신지정로 190 3층 301~305호 | 033-734-0007 | N
119 | 서울강원지역본부 | 원주횡성지사 | 연세치과의원 | 치과의원 | 32507593 | 강원특별자치도 원주시 무실로 182 원주원예농협하나로클럽 2층 ( | 단계03동3-733-7505 | N
120 | 서울강원지역본부 | 원주횡성지사 | 오케이치과의원 | 치과의원 | 32507631 | 강원특별자치도 원주시 혁신로 37-3 303, 305호 (반곡동) | 033-812-2080 | Y
121 | 서울강원지역본부 | 원주횡성지사 | 닥터리치과의원 | 치과의원 | 32507674 | 강원특별자치도 원주시 행구로 148 3층 (행구동) | 033-748-7522 | Y
122 | 서울강원지역본부 | 원주횡성지사 | 탑치과의원 | 치과의원 | 32507739 | 강원특별자치도 원주시 치악로 1786 (개운동) | 033-766-2875 | Y
123 | 서울강원지역본부 | 원주횡성지사 | 원주웰치과의원 | 치과의원 | 32507844 | 강원특별자치도 원주시 시청로 80 3층 301호 (무실동, 쎈터프라자) | 033-735-2275 | Y
124 | 서울강원지역본부 | 원주횡성지사 | 에벤에셀치과의원 | 치과의원 | 32507941 | 강원특별자치도 원주시 시청로 555 2층 (관설동, 청어람빌딩) | 033-764-9128 | Y
125 | 서울강원지역본부 | 원주횡성지사 | 건강한치과의원 | 치과의원 | 32507976 | 강원특별자치도 원주시 건강로 21 2층 (반곡동, 조은빌딩) | 033-734-2275 | Y
126 | 서울강원지역본부 | 원주횡성지사 | 서울열린치과의원 | 치과의원 | 32507984 | 강원특별자치도 원주시 시청로 96 영신프라자 3층 303호 (무실동) | 033-744-1369 | Y

127 | | | | | | | |
128 | 서울강원지역본부 | 원주횡성지사 | 하늘치과의원 | 치과의원 | 32508093 | 강원특별자치도 원주시 능라동길 7 403호 (무실동) | 033-746-9075 | Y
129 | 서울강원지역본부 | 원주횡성지사 | 에이플치과의원 | 치과의원 | 32508271 | 강원특별자치도 원주시 백간길 25 2층 (단계동) | 033-743-7522 | Y
130 | 서울강원지역본부 | 원주횡성지사 | 28지킴이치과의원 | 치과의원 | 32508336 | 강원특별자치도 원주시 봉화로 16 (단계동) | 033-747-2891 | Y
131 | 서울강원지역본부 | 원주횡성지사 | 정직한치과의원 | 치과의원 | 32508395 | 강원특별자치도 원주시 무실로 170 (단계동) | 033-747-2878 | N
132 | 서울강원지역본부 | 원주횡성지사 | 강남후생치과의원 | 치과의원 | 32508409 | 강원특별자치도 원주시 북원로 2706 2층 (태장동) | 033-746-2827 | Y
133 | 서울강원지역본부 | 원주횡성지사 | 서울플란트치과의원 | 치과의원 | 32508425 | 강원특별자치도 원주시 지정면 신지정로 266 401호 | 033-743-9944 | Y
134 | 서울강원지역본부 | 원주횡성지사 | 연세탑치과의원 | 치과의원 | 32508450 | 강원특별자치도 원주시 지정면 신지정로 322 4층 401,411호 | 033-732-2875 | Y
135 | 서울강원지역본부 | 원주횡성지사 | 상아치과의원 | 치과의원 | 32508468 | 강원특별자치도 원주시 서원대로 402 3층 (단구동, 대신프라자) | 033-763-3477 | Y
136 | 서울강원지역본부 | 원주횡성지사 | 연세이안치과의원 | 치과의원 | 32508476 | 강원특별자치도 원주시 영랑길 2 302호 (행구동) | 033-733-8600 | Y
137 | 서울강원지역본부 | 원주횡성지사 | 유앤미치과의원 | 치과의원 | 32508492 | 강원특별자치도 원주시 지정면 신지정로 322-1 305,306호 | 033-900-6262 | Y
138 | 서울강원지역본부 | 원주횡성지사 | 이편한치과의원 | 치과의원 | 32508531 | 강원특별자치도 원주시 로아노크로 74 세이브타워 402호 (무실동) | 033-735-2080 | Y
139 | 서울강원지역본부 | 원주횡성지사 | 다람쥐키즈치과의원 | 치과의원 | 32508581 | 강원특별자치도 원주시 지정면 신지정로 322 501~504호 | 033-900-2800 | Y
140 | 서울강원지역본부 | 원주횡성지사 | 서울인생치과의원 | 치과의원 | 32508654 | 강원특별자치도 횡성군 횡성읍 한우로 306 명품빌딩 2층 | 033-921-7979 | Y
141 | 서울강원지역본부 | 원주횡성지사 | 원주유디치과의원 | 치과의원 | 32508719 | 강원특별자치도 원주시 서원대로 162 3층 (단계동) | 033-743-2838 | Y
142 | 서울강원지역본부 | 원주횡성지사 | 태장치과의원 | 치과의원 | 32508727 | 강원특별자치도 원주시 치악로 2200 1동 1층 (태장동) | 033-904-2828 | Y
143 | 서울강원지역본부 | 원주횡성지사 | 연세바른치과의원 | 치과의원 | 32508743 | 강원특별자치도 원주시 능라동길 27 305~306호 (무실동) | 033-900-2882 | Y
144 | 서울강원지역본부 | 원주횡성지사 | 마리치과의원 | 치과의원 | 32508751 | 강원특별자치도 원주시 중평길 2 2층 (중앙동) | 033-742-8275 | Y
145 | 서울강원지역본부 | 원주횡성지사 | 센텀플란트치과의원 | 치과의원 | 32508794 | 강원특별자치도 원주시 능라동길 70 2층 203~206호 (무실동) | 033-731-2080 | Y
146 | 서울강원지역본부 | 원주횡성지사 | 연세문막치과의원 | 치과의원 | 32508841 | 강원특별자치도 원주시 문막읍 건등로 70 2층 205호 | 033-904-2875 | N
147 | 서울강원지역본부 | 원주횡성지사 | 디지털월드치과의원 | 치과의원 | 32508930 | 강원특별자치도 원주시 판부면 내남송길 103 2층 | 033-761-7772 | N
148 | 서울강원지역본부 | 원주횡성지사 | 원주클라인치과의원 | 치과의원 | 32508956 | 강원특별자치도 원주시 봉화로 22 더파크타워 3층 301호 (단계동) | 033-734-2700 | N
149 | 서울강원지역본부 | 원주횡성지사 | 횡성치과의원 | 치과의원 | 32509014 | 강원특별자치도 횡성군 횡성읍 문정로 20 | 033-343-2727 | Y
150 | 서울강원지역본부 | 원주횡성지사 | 중앙플란트치과의원 | 치과의원 | 32509103 | 강원특별자치도 원주시 평원로 76 3층 (평원동) | 033-813-2804 | N
151 | 서울강원지역본부 | 원주횡성지사 | 치과명작치과의원 | 치과의원 | 32509120 | 강원특별자치도 원주시 서원대로 396 스타월드 2층 (단구동) | 033-763-2879 | Y
152 | 서울강원지역본부 | 원주횡성지사 | 아이조아치과의원 | 치과의원 | 32509138 | 강원특별자치도 원주시 입춘로 110 207, 208호 (반곡동) | 033-743-2275 | Y
153 | 서울강원지역본부 | 원주횡성지사 | 이로운치과의원 | 치과의원 | 32509154 | 강원특별자치도 원주시 영랑길 14-2 201호 (행구동) | 033-900-2828 | Y
